Date,Download,Upload
2017-01-22 03:50:01,7833,7778
2017-01-22 03:51:02,6074,8811
2017-01-22 03:52:01,4611,9217
2017-01-22 03:53:02,6071,6346
2017-01-22 03:54:02,3179,11890
2017-01-22 03:55:02,4569,11492
2017-01-22 03:56:02,3535,8915
2017-01-22 03:57:02,4216,9105
2017-01-22 03:58:01,6610,8740
2017-01-22 03:59:02,6780,7724
2017-01-22 04:00:02,9167,8700
2017-01-22 04:01:02,9221,14234
2017-01-22 04:02:02,9979,11211
2017-01-22 04:03:01,2539,11396
2017-01-22 04:04:02,6033,4724
2017-01-22 04:05:02,7817,11849
2017-01-22 04:06:02,9105,14062
2017-01-22 04:07:01,8080,13514
2017-01-22 04:08:01,6667,9761
2017-01-22 04:09:02,9832,7332
2017-01-22 04:10:02,9319,11665
2017-01-22 04:11:02,9699,9090
2017-01-22 04:12:01,8842,13197
2017-01-22 04:13:02,9981,18103
2017-01-22 04:14:02,10237,5979
2017-01-22 04:15:02,9687,11421
2017-01-22 04:16:02,9840,9241
2017-01-22 04:17:02,10287,5865
2017-01-22 04:18:02,10082,7030
2017-01-22 04:19:02,9816,8198
2017-01-22 04:20:02,8376,13386
2017-01-22 04:21:02,9193,22170
2017-01-22 04:22:02,8774,7446
2017-01-22 04:23:02,9496,9987
2017-01-22 04:24:02,9663,11484
2017-01-22 04:25:02,9420,6526
2017-01-22 04:26:02,7459,3687
