Date,Download,Upload
2017-01-22 01:59:01,4.59,5.91
2017-01-22 02:00:18,0,0
2017-01-22 02:01:02,6.46,11.01
2017-01-22 02:02:02,7.28,15.12
2017-01-22 02:03:02,5.12,15.8
2017-01-22 02:04:01,1.48,11.44
2017-01-22 02:05:02,3.05,9.3
2017-01-22 02:06:02,2.1,10.92
2017-01-22 02:07:01,1.65,12.46
2017-01-22 02:08:02,8.79,8.39
2017-01-22 02:09:02,1.24,7.28
2017-01-22 02:10:02,2.82,2.18
2017-01-22 02:11:02,1.82,5.51
2017-01-22 02:12:01,5.97,11.31
2017-01-22 02:13:02,0.19,4.72
2017-01-22 02:14:02,0.2,5.36
2017-01-22 02:15:01,0.58,11.44
2017-01-22 02:16:02,0.42,6.03
2017-01-22 02:17:02,0.78,3.84
2017-01-22 02:18:03,1.04,3.3
2017-01-22 02:19:01,0.7,2.96
2017-01-22 02:20:02,0.07,6.41
2017-01-22 02:21:01,0.02,3.5
2017-01-22 02:22:06,0.14,8.74
2017-01-22 02:23:02,0.94,6.42
2017-01-22 02:24:13,0,0
2017-01-22 02:25:01,2.3,9.6
2017-01-22 02:26:02,1.92,11.68
2017-01-22 02:27:02,0.65,6.89
2017-01-22 02:28:02,0.13,5.89
2017-01-22 02:29:01,0.72,6.35
2017-01-22 02:30:01,1.49,4.33
2017-01-22 02:31:02,4.26,7.09
2017-01-22 02:32:01,1.32,12.02
2017-01-22 02:33:02,1.16,2.3
2017-01-22 02:34:01,3.74,5.48
2017-01-22 02:35:04,2.19,6.64
2017-01-22 02:36:02,0.85,3.43
2017-01-22 02:37:02,1.49,6.84
2017-01-22 02:38:01,0.91,4.76
2017-01-22 02:39:02,1.7,10.78
2017-01-22 02:40:02,2.86,10.99
2017-01-22 02:41:01,3.89,10.48
2017-01-22 02:42:02,3.99,9.26
2017-01-22 02:43:02,1.47,9.11
2017-01-22 02:44:01,1.96,9.53
2017-01-22 02:45:01,0.43,5.48
2017-01-22 02:46:02,2.52,8.07
2017-01-22 02:47:01,3.21,13.73
2017-01-22 02:48:02,4.06,11.24
2017-01-22 02:49:02,7.97,17.28
2017-01-22 02:50:02,0.11,10.45
2017-01-22 02:51:02,4.72,11.6
2017-01-22 02:52:02,5.71,13.76
2017-01-22 02:53:02,3.08,13.45
2017-01-22 02:54:01,0.3,9.62
2017-01-22 02:55:02,0,0
2017-01-22 02:56:02,1.84,10.9
2017-01-22 02:57:02,0.15,3.43
2017-01-22 02:58:01,8.42,13.02
2017-01-22 02:59:02,4.78,10.53
2017-01-22 03:00:02,2.7,10.67
2017-01-22 03:01:02,4.94,17.68
2017-01-22 03:02:02,4.1,12.14
